stop,restart,stop_days,after_window,incomplete,2017X_amp_vs_before_pct,2017X_phase_vs_before_deg,2017Y_amp_vs_before_pct,2017Y_phase_vs_before_deg
2025-08-04 21:30:00,2025-08-29 15:00:00,24.7,08/09 15:00–12/09 15:00,False,5.2,-2.7,3.9,-1.1
2025-09-15 08:30:00,2025-09-22 13:30:00,7.2,02/10 13:30–06/10 13:30,False,-3.6,1.7,0.4,-6.1
