Machine Name,P29201A
Point Name,29VT-2001AX
Wf Amp,28.632
Number of Revs,8
X-Axis Unit,ms
Y-Axis Unit,µm 
Sample Speed, 4762 rpm
Sample Status,Valid
Timestamp,7/25/2026 1:40:10 PM
Variable,Disp Wf(256X/8revs).29KT-2014A
X-Axis Value,Y-Axis Value
0,0.243
0.049,0.485
0.098,0.534
0.148,0.63
0.197,0.776
0.246,0.873
0.295,1.599
0.345,1.696
0.394,1.938
0.443,2.181
0.492,2.471
0.541,2.811
0.591,3.586
0.64,3.78
0.689,3.586
0.738,3.828
0.787,4.216
0.837,4.312
0.886,4.651
0.935,4.458
0.984,3.731
1.034,4.312
1.083,5.427
1.132,6.25
1.181,6.541
1.23,6.444
1.28,6.638
1.329,8.382
1.378,10.368
1.427,10.901
1.477,10.804
1.526,10.804
1.575,10.659
1.624,11.434
1.673,12.839
1.723,12.694
1.772,11.047
1.821,9.738
1.87,9.496
1.919,10.804
1.969,11.095
2.018,9.06
2.067,7.461
2.116,7.946
2.166,8.43
2.215,8.818
2.264,9.351
2.313,8.963
2.362,8.915
2.412,9.981
2.461,10.707
2.51,10.804
2.559,11.095
2.609,10.659
2.658,10.32
2.707,11.531
2.756,12.694
2.805,12.209
2.855,11.87
2.904,11.483
2.953,10.417
3.002,10.465
3.052,10.659
3.101,10.126
3.15,10.174
3.199,10.514
3.248,9.981
3.298,9.593
3.347,9.69
3.396,9.06
3.445,8.576
3.494,8.77
3.544,7.994
3.593,7.655
3.642,7.994
3.691,7.51
3.741,7.074
3.79,7.461
3.839,6.444
3.888,5.572
3.937,6.202
3.987,5.96
4.036,5.475
4.085,5.96
4.134,5.717
4.184,5.184
4.233,5.766
4.282,5.863
4.331,5.572
4.38,5.669
4.43,5.33
4.479,4.7
4.528,5.281
4.577,6.153
4.626,6.347
4.676,6.638
4.725,6.202
4.774,5.96
4.823,6.88
4.873,7.51
4.922,6.88
4.971,6.541
5.02,6.153
5.069,6.202
5.119,7.219
5.168,7.316
5.217,5.475
5.266,4.312
5.316,4.797
5.365,5.717
5.414,6.88
5.463,7.316
5.512,5.96
5.562,5.136
5.611,5.96
5.66,6.832
5.709,7.074
5.758,6.347
5.808,4.603
5.857,4.361
5.906,6.008
5.955,6.153
6.005,4.264
6.054,2.132
6.103,0.582
6.152,-0.532
6.201,-0.726
6.251,-0.678
6.3,-1.84
6.349,-2.422
6.398,-2.809
6.448,-2.906
6.497,-3.1
6.546,-3.73
6.595,-4.747
6.644,-5.474
6.694,-5.474
6.743,-5.28
6.792,-5.522
6.841,-5.958
6.89,-6.443
6.94,-6.491
6.989,-6.104
7.038,-6.201
7.087,-6.346
7.137,-6.249
7.186,-6.346
7.235,-5.861
7.284,-5.474
7.333,-5.765
7.383,-5.91
7.432,-5.328
7.481,-5.183
7.53,-5.28
7.58,-5.183
7.629,-5.183
7.678,-5.328
7.727,-5.377
7.776,-5.328
7.826,-5.765
7.875,-6.297
7.924,-6.297
7.973,-6.491
8.022,-6.491
8.072,-6.976
8.121,-7.412
8.17,-7.848
8.219,-8.09
8.269,-8.671
8.318,-9.107
8.367,-9.495
8.416,-10.076
8.465,-10.367
8.515,-10.27
8.564,-10.318
8.613,-11.045
8.662,-10.948
8.712,-10.997
8.761,-11.917
8.81,-11.82
8.859,-11.239
8.908,-11.627
8.958,-11.53
9.007,-11.53
9.056,-12.063
9.105,-11.82
9.155,-11.675
9.204,-11.772
9.253,-11.481
9.302,-11.094
9.351,-11.239
9.401,-11.094
9.45,-10.609
9.499,-10.803
9.548,-10.415
9.597,-9.834
9.647,-9.882
9.696,-9.592
9.745,-8.768
9.794,-9.156
9.844,-9.107
9.893,-8.09
9.942,-7.751
9.991,-7.751
10.04,-7.363
10.09,-7.751
10.139,-8.042
10.188,-7.412
10.237,-7.509
10.287,-7.945
10.336,-7.315
10.385,-7.169
10.434,-7.509
10.483,-7.169
10.533,-6.927
10.582,-7.024
10.631,-6.54
10.68,-6.346
10.729,-6.685
10.779,-6.249
10.828,-5.91
10.877,-6.201
10.926,-5.765
10.976,-5.571
11.025,-6.394
11.074,-6.249
11.123,-6.007
11.172,-6.637
11.222,-6.249
11.271,-5.765
11.32,-6.346
11.369,-6.588
11.419,-6.152
11.468,-6.733
11.517,-6.879
11.566,-6.007
11.615,-6.54
11.665,-6.782
11.714,-6.54
11.763,-6.637
11.812,-5.91
11.861,-4.989
11.911,-4.941
11.96,-4.747
12.009,-3.924
12.058,-3.633
12.108,-3.1
12.157,-1.986
12.206,-1.307
12.255,-0.92
12.304,0.194
12.354,0.63
12.403,0.534
12.452,1.26
12.501,1.599
12.551,1.212
12.6,1.938
12.649,2.229
12.698,1.503
12.747,1.745
12.797,1.842
12.846,1.406
12.895,1.938
12.944,2.375
12.993,1.987
13.043,1.89
13.092,2.568
13.141,2.617
13.19,2.907
13.24,3.295
13.289,2.859
13.338,2.811
13.387,3.344
13.436,3.537
13.486,3.634
13.535,3.344
13.584,2.811
13.633,3.198
13.683,4.603
13.732,5.669
13.781,5.766
13.83,5.669
13.879,6.105
13.929,8.043
13.978,9.787
14.027,10.707
14.076,10.659
14.125,10.465
14.175,10.901
14.224,11.676
14.273,12.791
14.322,13.13
14.372,11.676
14.421,9.835
14.47,10.271
14.519,11.628
14.568,11.337
14.618,9.738
14.667,8.285
14.716,8.382
14.765,9.206
14.815,9.642
14.864,9.69
14.913,9.642
14.962,9.835
15.011,10.514
15.061,11.192
15.11,11.628
15.159,11.289
15.208,10.95
15.258,11.095
15.307,11.87
15.356,12.694
15.405,12.597
15.454,11.919
15.504,11.192
15.553,10.901
15.602,10.465
15.651,10.271
15.7,10.417
15.75,10.029
15.799,9.932
15.848,9.981
15.897,9.302
15.947,8.721
15.996,8.673
16.045,8.479
16.094,7.849
16.143,7.849
16.193,7.51
16.242,7.365
16.291,7.461
16.34,7.219
16.39,6.832
16.439,6.396
16.488,5.62
16.537,5.669
16.586,6.153
16.636,5.96
16.685,5.427
16.734,5.62
16.783,5.717
16.832,5.62
16.882,6.008
16.931,6.153
16.98,5.427
17.029,5.524
17.079,5.717
17.128,5.669
17.177,6.347
17.226,7.268
17.275,6.832
17.325,6.686
17.374,7.268
17.423,7.655
17.472,7.994
17.522,7.994
17.571,7.025
17.62,6.686
17.669,7.655
17.718,8.043
17.768,7.461
17.817,6.589
17.866,5.136
17.915,4.942
17.964,6.638
18.014,7.413
18.063,7.122
18.112,6.88
18.161,5.911
18.211,6.057
18.26,7.268
18.309,7.655
18.358,6.299
18.407,5.62
18.457,5.33
18.506,5.96
18.555,6.929
18.604,5.136
18.654,2.471
18.703,1.599
18.752,0.388
18.801,-0.387
18.85,0.146
18.9,-0.484
18.949,-1.937
18.998,-2.034
19.047,-2.083
19.096,-2.664
19.146,-2.955
19.195,-3.73
19.244,-4.892
19.293,-4.941
19.343,-4.456
19.392,-5.232
19.441,-5.668
19.49,-5.571
19.539,-6.104
19.589,-6.249
19.638,-5.668
19.687,-5.958
19.736,-6.297
19.786,-5.765
19.835,-5.958
19.884,-5.813
19.933,-5.474
19.982,-5.668
20.032,-5.813
20.081,-5.135
20.13,-5.377
20.179,-5.765
20.229,-5.086
20.278,-5.232
20.327,-5.571
20.376,-5.474
20.425,-5.765
20.475,-6.443
20.524,-6.394
20.573,-6.637
20.622,-6.976
20.671,-7.218
20.721,-7.702
20.77,-8.429
20.819,-8.623
20.868,-9.059
20.918,-9.834
20.967,-9.979
21.016,-10.415
21.065,-10.948
21.114,-11.045
21.164,-10.997
21.213,-11.578
21.262,-11.627
21.311,-11.675
21.361,-12.111
21.41,-12.402
21.459,-11.82
21.508,-11.772
21.557,-12.063
21.607,-12.014
21.656,-12.063
21.705,-12.256
21.754,-11.966
21.803,-11.578
21.853,-11.481
21.902,-11.142
21.951,-10.997
22,-11.142
22.05,-10.658
22.099,-10.222
22.148,-10.125
22.197,-9.64
22.246,-9.253
22.296,-9.107
22.345,-8.914
22.394,-8.429
22.443,-8.526
22.493,-8.09
22.542,-7.605
22.591,-7.266
22.64,-7.702
22.689,-7.799
22.739,-7.896
22.788,-7.945
22.837,-7.848
22.886,-7.993
22.935,-8.187
22.985,-8.042
23.034,-7.896
23.083,-8.138
23.132,-7.896
23.182,-7.509
23.231,-7.799
23.28,-7.412
23.329,-7.169
23.378,-7.266
23.428,-7.073
23.477,-6.491
23.526,-6.685
23.575,-6.685
23.625,-6.443
23.674,-6.879
23.723,-7.024
23.772,-6.443
23.821,-6.637
23.871,-6.346
23.92,-6.201
23.969,-6.637
24.018,-6.733
24.067,-6.394
24.117,-6.491
24.166,-6.685
24.215,-6.007
24.264,-6.346
24.314,-6.927
24.363,-6.104
24.412,-5.328
24.461,-5.28
24.51,-4.602
24.56,-4.069
24.609,-4.117
24.658,-3.391
24.707,-2.664
24.757,-2.131
24.806,-1.259
24.855,-0.387
24.904,0.146
24.953,0.824
25.003,1.212
25.052,1.212
25.101,1.793
25.15,2.229
25.199,2.084
25.249,2.278
25.298,2.617
25.347,1.842
25.396,2.035
25.446,2.568
25.495,2.278
25.544,2.471
25.593,3.101
25.642,2.617
25.692,2.568
25.741,3.634
25.79,3.44
25.839,3.586
25.888,4.022
25.938,3.634
25.987,3.683
26.036,4.651
26.085,4.506
26.134,3.828
26.184,4.07
26.233,4.216
26.282,5.088
26.331,6.686
26.38,7.074
26.43,6.541
26.479,7.558
26.528,9.06
26.577,10.61
26.627,12.064
26.676,11.967
26.725,11.531
26.774,12.355
26.823,13.178
26.873,14.002
26.922,14.728
26.971,13.469
27.02,10.998
27.069,11.531
27.119,13.517
27.168,12.984
27.217,11.192
27.266,10.029
27.315,9.738
27.365,10.368
27.414,11.143
27.463,10.901
27.512,10.562
27.561,10.804
27.611,11.047
27.66,11.822
27.709,12.451
27.758,11.628
27.807,11.047
27.857,11.386
27.906,11.773
27.955,12.694
28.004,12.887
28.054,11.628
28.103,10.659
28.152,10.61
28.201,10.029
28.25,9.835
28.3,9.738
28.349,9.496
28.398,9.206
28.447,9.254
28.496,8.915
28.546,8.333
28.595,8.14
28.644,7.849
28.693,7.316
28.742,7.171
28.792,7.268
28.841,6.686
28.89,6.589
28.939,6.686
28.988,6.25
29.038,5.572
29.087,5.136
29.136,4.894
29.185,5.136
29.235,5.136
29.284,4.845
29.333,4.7
29.382,4.894
29.431,4.7
29.481,4.894
29.53,5.378
29.579,4.991
29.628,4.555
29.677,4.651
29.727,4.894
29.776,5.572
29.825,6.541
29.874,6.444
29.923,5.911
29.973,6.347
30.022,7.268
30.071,7.655
30.12,7.365
30.169,6.541
30.219,6.25
30.268,6.686
30.317,7.752
30.366,7.171
30.415,5.62
30.465,4.603
30.514,4.748
30.563,5.669
30.612,6.929
30.662,6.783
30.711,5.184
30.76,4.797
30.809,5.378
30.858,5.766
30.908,6.299
30.957,5.378
31.006,3.44
31.055,3.489
31.104,4.942
31.154,4.942
31.203,2.956
31.252,0.921
31.301,-0.532
31.35,-1.55
31.4,-1.695
31.449,-2.083
31.498,-2.519
31.547,-3.342
31.596,-4.117
31.646,-3.972
31.695,-3.875
31.744,-4.844
31.793,-5.91
31.842,-5.91
31.892,-6.394
31.941,-6.588
31.99,-6.443
32.039,-7.024
32.089,-7.848
32.138,-7.218
32.187,-7.266
32.236,-7.702
32.285,-7.46
32.335,-7.46
32.384,-7.799
32.433,-7.121
32.482,-7.121
32.531,-7.412
32.581,-6.685
32.63,-6.491
32.679,-6.83
32.728,-6.346
32.777,-6.201
32.827,-6.685
32.876,-6.007
32.925,-5.861
32.974,-6.491
33.023,-6.443
33.073,-6.443
33.122,-7.169
33.171,-7.073
33.22,-6.976
33.27,-7.848
33.319,-8.09
33.368,-8.284
33.417,-9.156
33.466,-9.64
33.516,-9.786
33.565,-10.755
33.614,-11.239
33.663,-11.094
33.712,-11.917
33.762,-12.208
33.811,-12.014
33.86,-12.644
33.909,-13.031
33.958,-12.983
34.008,-13.371
34.057,-13.419
34.106,-12.983
34.155,-13.274
34.204,-13.758
34.254,-13.516
34.303,-13.613
34.352,-13.904
34.401,-12.983
34.45,-12.983
34.5,-13.177
34.549,-12.741
34.598,-12.305
34.647,-12.353
34.697,-11.772
34.746,-11.481
34.795,-11.142
34.844,-10.512
34.893,-10.076
34.943,-10.028
34.992,-9.301
35.041,-9.156
35.09,-9.059
35.139,-7.993
35.189,-7.509
35.238,-8.09
35.287,-8.138
35.336,-7.896
35.385,-8.138
35.435,-8.09
35.484,-7.945
35.533,-8.235
35.582,-8.332
35.631,-8.138
35.681,-8.187
35.73,-8.09
35.779,-8.09
35.828,-8.09
35.878,-7.993
35.927,-7.702
35.976,-7.848
36.025,-7.654
36.074,-7.363
36.124,-7.412
36.173,-7.654
36.222,-7.509
36.271,-7.654
36.32,-7.945
36.37,-7.848
36.419,-7.605
36.468,-7.557
36.517,-7.654
36.566,-7.654
36.616,-8.138
36.665,-8.042
36.714,-7.896
36.763,-7.751
36.812,-7.509
36.862,-7.799
36.911,-8.478
36.96,-7.896
37.009,-6.879
37.058,-6.443
37.108,-6.201
37.157,-5.861
37.206,-5.425
37.255,-4.989
37.305,-4.02
37.354,-3.294
37.403,-2.761
37.452,-1.84
37.501,-0.823
37.551,-0.29
37.6,-0.048
37.649,0.437
37.698,0.873
37.747,1.212
37.797,1.793
37.846,2.084
37.895,2.035
37.944,2.035
37.993,2.035
38.043,2.229
38.092,2.907
38.141,2.907
38.19,3.004
38.239,3.247
38.289,3.489
38.338,3.78
38.387,4.603
38.436,4.651
38.486,4.312
38.535,4.651
38.584,5.088
38.633,5.136
38.682,5.281
38.732,4.894
38.781,4.361
38.83,5.136
38.879,6.444
38.928,7.219
38.978,7.607
39.027,7.461
39.076,7.752
39.125,9.642
39.174,11.531
39.224,12.258
39.273,12.403
39.322,12.403
39.371,12.5
39.42,13.469
39.47,14.728
39.519,14.632
39.568,13.323
39.617,11.822
39.666,11.919
39.716,13.323
39.765,13.711
39.814,11.531
39.863,9.981
39.913,10.853
39.962,11.143
40.011,11.24
40.06,11.87
40.109,11.579
40.159,11.386
40.208,12.403
40.257,13.033
40.306,13.081
40.355,13.469
40.405,12.887
40.454,12.451
40.503,13.808
40.552,14.438
40.601,14.292
40.651,14.196
40.7,13.178
40.749,12.403
40.798,12.839
40.847,12.742
40.897,12.209
40.946,12.451
40.995,12.597
41.044,11.87
41.093,11.822
41.143,12.015
41.192,11.143
41.241,10.998
41.29,11.192
41.34,10.368
41.389,10.126
41.438,10.223
41.487,9.787
41.536,9.545
41.586,9.545
41.635,8.43
41.684,7.704
41.733,8.237
41.782,7.897
41.832,7.268
41.881,7.51
41.93,6.735
41.979,6.493
42.028,7.171
42.078,6.977
42.127,6.493
42.176,6.589
42.225,6.008
42.274,5.33
42.324,6.008
42.373,6.686
42.422,6.88
42.471,7.122
42.521,6.638
42.57,6.541
42.619,7.655
42.668,7.897
42.717,7.316
42.767,6.832
42.816,6.444
42.865,6.735
42.914,7.607
42.963,7.461
43.013,5.814
43.062,4.845
43.111,4.894
43.16,5.766
43.209,7.122
43.259,7.219
43.308,5.911
43.357,5.33
43.406,5.814
43.455,6.589
43.505,6.783
43.554,6.057
43.603,4.506
43.652,4.312
43.701,5.572
43.751,5.96
43.8,3.925
43.849,1.842
43.898,0.534
43.948,-0.581
43.997,-0.775
44.046,-1.017
44.095,-1.792
44.144,-2.615
44.194,-3.052
44.243,-3.148
44.292,-2.955
44.341,-3.875
44.39,-4.989
44.44,-5.474
44.489,-5.474
44.538,-5.861
44.587,-6.007
44.636,-6.394
44.686,-6.83
44.735,-7.121
44.784,-7.024
44.833,-6.976
44.882,-7.509
44.932,-7.509
44.981,-7.266
45.03,-7.024
45.079,-6.879
45.129,-6.83
45.178,-6.733
45.227,-6.443
45.276,-6.104
45.325,-6.152
45.375,-5.958
45.424,-5.813
45.473,-5.91
45.522,-5.425
45.571,-5.522
45.621,-6.007
45.67,-6.249
45.719,-6.152
45.768,-6.637
45.817,-6.685
45.867,-6.685
45.916,-7.509
45.965,-7.993
46.014,-8.09
46.063,-8.72
46.113,-9.204
46.162,-9.446
46.211,-10.222
46.26,-10.658
46.309,-10.415
46.359,-10.948
46.408,-11.384
46.457,-11.384
46.506,-11.772
46.556,-12.402
46.605,-12.208
46.654,-12.256
46.703,-12.741
46.752,-12.838
46.802,-12.741
46.851,-13.371
46.9,-13.274
46.949,-12.983
46.998,-13.225
47.048,-12.886
47.097,-12.353
47.146,-12.789
47.195,-12.595
47.244,-12.111
47.294,-12.256
47.343,-11.772
47.392,-10.997
47.441,-11.142
47.49,-10.755
47.54,-10.028
47.589,-10.27
47.638,-9.931
47.687,-9.107
47.736,-9.107
47.786,-8.817
47.835,-8.235
47.884,-8.962
47.933,-8.865
47.983,-8.284
48.032,-8.817
48.081,-9.107
48.13,-8.381
48.179,-8.526
48.229,-9.01
48.278,-8.235
48.327,-8.332
48.376,-8.623
48.425,-7.799
48.475,-7.557
48.524,-7.993
48.573,-7.557
48.622,-7.169
48.671,-7.121
48.721,-6.685
48.77,-6.588
48.819,-7.024
48.868,-6.927
48.917,-6.733
48.967,-6.976
49.016,-6.443
49.065,-6.297
49.114,-6.685
49.164,-6.346
49.213,-6.152
49.262,-6.879
49.311,-6.588
49.36,-5.91
49.41,-6.152
49.459,-6.346
49.508,-6.055
49.557,-6.297
49.606,-5.522
