timestamp,1X_Amp_29VT-2001X,1X_Amp_29VT-2001Y,1X_Amp_29VT-2003X,1X_Amp_29VT-2003Y,1X_Amp_29VT-2005X,1X_Amp_29VT-2005Y,1X_Amp_29VT-2007X,1X_Amp_29VT-2007Y,1X_Phase_29VT-2001X,1X_Phase_29VT-2001Y,1X_Phase_29VT-2003X,1X_Phase_29VT-2003Y,1X_Phase_29VT-2005X,1X_Phase_29VT-2005Y,1X_Phase_29VT-2007X,1X_Phase_29VT-2007Y,29SIC2001,29SIC2001A,29FI2005,29FI2006,29PI2011,29PI2012,29PDI2007A,29LI2002A,29TI2030,29TI2031,29TI2026A
2026-02-20 19:00:00,17.8612,16.1601,46.862,29.7634,9.6658,8.3328,5.8136,12.3055,103.0,12.0,215.0,120.4287,8.8733,293.0,147.0,68.0,4815.0,98.3696,28667.2188,27097.8479,3.8772,0.4277,20.908,65.9264,391.9542,243.0693,49.9916
2026-02-20 20:00:00,16.9568,16.0252,46.5247,33.163,9.5937,8.3328,5.939,12.288,105.5265,15.1996,212.6524,125.1465,7.0,293.0,147.0512,70.7818,4815.0,98.3696,28854.1267,27412.2485,3.8747,0.462,20.9645,65.9267,391.9363,244.3891,49.7211
2026-02-20 21:00:00,17.177,15.9742,48.7339,32.2397,9.8093,8.4188,6.1711,12.2896,106.9083,14.3644,219.3268,125.1326,5.9306,290.2334,147.0336,69.0,4815.0,98.3696,28520.2538,27208.5975,3.8775,0.4323,20.9991,65.927,392.1315,243.1373,49.5573
2026-02-20 22:00:00,16.932,15.2346,50.2292,33.6426,9.6878,8.3328,6.1722,12.193,105.2852,12.0,217.3473,124.7948,7.0808,293.0,146.9537,71.0,4815.0,98.3696,28745.4799,27305.0121,3.8703,0.4511,20.9891,65.9273,392.1326,243.9226,49.4915
2026-02-20 23:00:00,17.5858,16.445,49.7221,32.1869,9.7436,8.2359,6.1527,12.1277,103.1702,12.6445,218.6638,124.3607,8.7762,292.216,146.0,69.2072,4815.0,98.3696,28603.3182,27228.9225,3.8736,0.4438,21.092,65.9276,391.6216,243.6781,49.4257
2026-02-21 00:00:00,17.258,15.7674,47.1747,29.638,9.7893,8.3229,6.0175,12.2235,106.7569,13.1899,219.9268,129.4853,8.0,292.2504,144.9815,69.2306,4815.0,98.3696,28699.3442,27354.8378,3.8754,0.4461,21.1283,65.9279,391.3784,243.5065,49.3598
2026-02-21 01:00:00,17.3492,16.2131,48.2227,31.0465,9.9553,8.3328,5.9193,12.2086,104.25,14.6295,217.2758,126.6281,6.0412,293.0,148.0,70.0,4815.0,98.3696,28444.383,27137.7497,3.8803,0.4286,21.2821,65.9275,391.7358,242.9846,49.294
2026-02-21 02:00:00,16.3304,15.8071,47.673,32.9856,9.9316,8.2844,6.1828,12.693,105.2273,13.4202,219.943,124.9195,6.0,291.247,150.9781,70.2287,4815.0,98.3696,28502.5641,27231.4547,3.8765,0.4328,21.3259,65.9269,392.0735,242.6164,49.2282
2026-02-21 03:00:00,16.5727,16.0498,48.2955,33.7208,9.8347,8.3813,6.0071,12.257,103.744,12.3847,219.7153,123.1723,6.9513,292.0,150.0,70.7728,4815.0,98.3696,28653.8054,27386.608,3.8701,0.4436,21.3924,65.9263,391.5725,243.3447,49.1623
2026-02-21 04:00:00,16.6791,15.6642,49.2527,32.511,9.8124,8.2569,6.1225,12.1601,104.2612,13.0,218.045,126.0763,7.0596,292.7574,149.0219,69.2236,4815.0,98.3696,28667.5335,27325.2386,3.8718,0.445,21.3316,65.9311,391.3991,243.2612,49.0965
2026-02-21 05:00:00,16.9101,16.1359,46.0973,32.2611,9.7876,8.2359,5.872,12.1264,104.4824,13.2114,217.0249,127.2465,7.935,293.0,147.9645,70.7891,4815.0,98.3696,28718.3861,27429.0936,3.8754,0.4526,21.2581,65.9462,391.3577,243.7615,49.1072
2026-02-21 06:00:00,16.8391,15.7936,45.0985,31.9482,9.7339,8.3813,5.8813,12.2541,106.4621,14.7934,218.3796,127.9293,7.0,292.0,148.0623,70.215,4815.0,98.3696,28618.8757,27303.0922,3.8751,0.4388,21.2548,65.9613,391.3668,243.1721,49.157
2026-02-21 07:00:00,17.1002,15.9593,47.6441,33.2804,9.7685,8.2844,5.9004,12.3535,105.2758,12.7882,217.9979,126.0654,7.0,292.2298,150.9234,71.2101,4815.0,98.3696,28450.0135,27174.6134,3.8789,0.4303,21.3628,65.9764,391.7429,242.7052,49.2068
2026-02-21 08:00:00,16.6981,15.4816,50.0331,31.1922,9.7882,8.3328,6.0947,12.3379,105.8963,13.3379,214.9886,126.0,7.9342,292.779,147.0956,69.2097,4815.0,98.3696,28687.4901,27360.9824,3.8722,0.4439,21.3068,65.9915,391.7671,242.694,49.2565
2026-02-21 09:00:00,17.0896,16.3126,49.602,31.9327,9.5928,8.3716,5.8826,12.2908,103.0,13.8146,219.4696,125.1802,7.0459,293.0,146.0,69.7655,4815.0,98.3696,28919.8466,27483.8652,3.8677,0.4638,21.0543,66.0066,391.2226,244.0585,49.3387
2026-02-21 10:00:00,17.0151,16.1258,51.281,32.0899,9.6891,8.411,6.2771,12.708,103.5213,12.357,218.3508,126.2345,6.0516,292.7509,149.9797,69.4743,4815.0,98.3696,28900.2519,27485.16,3.8739,0.4635,20.7975,66.0217,390.9477,244.2131,49.6095
2026-02-21 11:00:00,17.301,16.0581,48.6276,33.3786,9.6896,8.3813,6.1742,12.5626,104.7591,13.187,217.6433,127.8302,6.0485,292.0,148.0,70.2339,4815.0,98.3696,28860.6817,27490.0893,3.8631,0.4641,20.5855,66.0368,392.0208,245.0611,49.8803
2026-02-21 12:00:00,17.2814,16.209,52.0835,32.3535,9.4696,8.3328,5.9867,12.4154,106.0,15.2052,220.048,131.6122,6.9417,293.0,146.0233,71.0,4815.0,98.3696,28850.6316,27516.8582,3.8711,0.4647,20.4389,66.0369,393.1066,245.9303,50.1511
2026-02-21 13:00:00,17.3071,16.6619,49.7289,30.6742,9.7127,8.3913,6.1738,12.9051,101.2611,13.5927,219.9256,128.1407,5.9352,292.0,150.0,73.2144,4815.0,98.3696,28850.1544,27451.2965,3.8702,0.4649,20.2428,66.0206,393.2314,246.1997,50.4219
2026-02-21 14:00:00,16.4763,16.2222,51.5417,34.6252,9.4942,8.3117,6.0161,11.9663,106.0,11.4062,220.346,128.7054,6.0608,293.0,146.9737,73.0,4815.0,98.3696,28848.5689,27442.1204,3.8796,0.461,20.2878,66.0042,393.2177,246.0308,50.5064
2026-02-21 15:00:00,16.9541,16.5365,48.6018,32.0663,9.7413,8.3813,6.3161,12.7572,104.0,14.3519,218.3327,126.1896,6.9293,292.0,147.1917,72.0,4815.0,98.3696,28798.0284,27401.2133,3.8685,0.4605,20.3579,65.9879,393.7025,246.2683,50.4922
2026-02-21 16:00:00,16.8641,15.5267,47.5545,31.8056,10.2707,9.1564,5.9783,13.7287,105.0,13.7909,223.0,126.7338,2.0672,290.2361,153.0,67.2154,4815.0,98.3696,28897.3748,27187.9092,3.871,0.4518,20.3334,65.9715,393.9237,245.4865,50.4701
2026-02-21 17:00:00,17.2327,16.5403,46.8067,31.1657,9.9285,8.672,6.658,14.3241,104.5621,12.2188,218.3403,129.0,2.0,287.0,157.0407,75.0,4815.0,98.3696,28611.7015,27244.7047,3.8626,0.4419,20.5548,65.9552,394.1449,244.931,50.2442
2026-02-21 18:00:00,17.04,16.1104,47.3631,31.3244,9.5951,8.2359,6.5887,12.8065,105.447,12.0,218.3452,126.8113,7.0712,293.0,156.8561,74.2253,4815.0,98.3696,28518.4369,27168.1077,3.8728,0.4316,20.892,65.9388,394.3307,244.8789,49.9704
2026-02-21 19:00:00,16.5203,15.8905,48.939,31.6339,9.6894,8.313,6.5313,12.5665,103.5038,13.1887,217.7192,119.3435,8.0,293.0,151.0106,74.0,4815.0,98.3696,29009.029,27288.9923,3.8725,0.4536,21.0707,65.9225,394.4208,245.7865,49.6966
2026-02-21 20:00:00,17.7413,16.3375,46.7808,29.2658,9.8836,8.2359,6.5011,12.4992,103.7471,14.3989,221.2539,125.7723,9.0542,293.0,152.9774,74.7746,4815.0,98.3696,28707.0773,27234.716,3.8743,0.4578,21.1177,65.9141,394.0684,245.5304,49.4591
2026-02-21 21:00:00,17.3636,16.0167,49.0547,32.4225,9.7372,8.1976,6.4956,12.7264,103.7436,12.574,217.2907,124.7532,6.9492,292.7469,154.0,75.0,4815.0,98.3696,28577.1509,27259.9092,3.8787,0.4434,21.0985,65.9127,393.4072,244.5529,49.5701
2026-02-21 22:00:00,16.7277,15.939,48.0807,31.2326,10.1268,8.731,6.9959,12.8245,104.7352,11.0095,218.3452,127.0756,4.0603,291.0,149.9708,70.7828,4815.0,98.3696,28474.8228,27147.3986,3.8714,0.4347,20.9458,65.9114,393.2685,244.4252,49.7036
2026-02-21 23:00:00,17.7238,16.3859,46.6663,32.8151,9.8822,8.3226,6.9033,12.6628,104.2569,11.0,216.3522,126.0,7.0,292.0,157.0225,76.0,4815.0,98.3696,28560.8897,27221.8467,3.8792,0.441,20.9967,65.9101,393.3754,244.6819,49.6366
2026-02-22 00:00:00,17.4801,16.6887,45.8682,32.04,10.1738,8.5536,6.7824,14.2918,103.8082,13.0,220.6591,129.1362,1.0643,286.0,157.0283,76.2164,4815.0,98.3696,28312.3158,27079.7506,3.8758,0.4235,21.0876,65.9087,393.3823,243.838,49.465
2026-02-22 01:00:00,16.7518,15.656,49.286,31.073,9.6665,8.1612,6.7927,12.9353,104.0,10.5985,221.9975,124.2248,8.0749,293.0,156.0767,75.0,4815.0,98.3696,28572.8139,27193.4539,3.8682,0.4451,21.1585,65.9074,394.0134,245.2419,49.2935
2026-02-22 02:00:00,17.1877,16.0269,47.396,29.8717,9.5902,8.2199,6.4053,12.7089,105.0,14.0,215.6478,127.1334,7.0685,293.2343,154.7941,73.0,4815.0,98.3696,28561.9659,27227.7088,3.8756,0.44,21.4342,65.9061,393.5712,245.1406,49.122
2026-02-22 03:00:00,16.8289,16.1934,47.2764,31.4194,9.738,8.2458,6.6808,12.6118,106.4314,13.805,219.64,126.2616,7.0471,293.0,154.0,72.7657,4815.0,98.3696,28738.253,27299.8125,3.8738,0.4547,21.5536,65.905,393.0406,245.4567,48.9504
2026-02-22 04:00:00,17.3961,16.2724,50.0332,31.3447,9.6171,8.2359,6.3268,12.4508,106.7572,14.8077,218.3582,126.243,7.9422,292.2466,150.0717,71.7766,4815.0,98.3696,28705.3885,27352.3193,3.871,0.4477,21.582,65.9136,392.7457,244.9634,48.8361
2026-02-22 05:00:00,16.8364,16.1216,46.9799,33.1653,9.5446,8.139,6.7104,12.2051,105.2408,13.1904,219.0741,129.0,8.0515,293.0,152.986,72.7685,4815.0,98.3696,28514.9557,27234.1223,3.8822,0.435,21.3641,65.9281,393.0016,244.2819,49.0069
